institution_name,id,url,institution_code_number,institution_type,beginning_of_activity,state,address,post_code,place,headquarters_name,headquarters_address,post_code,city,country,subscribed_capital,paid_up_capital,related_decisions,published_accounts
"NEUE BANK AG",9256,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9256",9581,"Free Provision of Services by EU Credit Institutions",2012-01-01,"Active",,,,,,,,"Liechtenstein",,,,
"BNP PARIBAS FACTOR",8960,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8960",9437,"Free Provision of Services by EU Credit Institutions",2006-10-17,"Active",,,,,,,,"França",,,,
"DB UK BANK LIMITED",8606,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8606",9095,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
"J.P. MORGAN EUROPE LIMITED",8669,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8669",9164,"Free Provision of Services by EU Credit Institutions",1996-12-31,"Active",,,,,,,,"Reino Unido",,,,
"WESTERN UNION PAYMENT SERVICES UK LIMITED",9165,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9165",8770,"Free Provision of Services by EU Payment Institutions",2009-11-01,"Active",,,,,,,,"Reino Unido",,,,
"BANCO SANTANDER TOTTA, SA",8414,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8414",18,"Banks",1864-10-25,"Active","RUA  DO OURO, Nº. 88","1100-063 LISBOA","LISBOA",,,"1100-063 LISBOA",,,656723284.00,656723284.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=BANCO+SANTANDER+TOTTA%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=BANCO+SANTANDER+TOTTA%2c+SA"
"DEUTSCHE BANK NEDERLAND N.V.",9054,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9054",9525,"Free Provision of Services by EU Credit Institutions",2009-02-27,"Active",,,,,,,,"Holanda",,,,
"BREMER LANDESBANK KREDITANSTALT OLDENBURG - GIROZENTRALE",8947,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8947",9426,"Free Provision of Services by EU Credit Institutions",2006-07-11,"Active",,,,,,,,"Alemanha",,,,
"CAIXA ECONÓMICA DA MISERICÓRDIA DE ANGRA DO HEROÍSMO",9507,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9507",59,"Savings Banks (Caixas Económicas)",1896-07-16,"Active","RUA DIREITA, 118/120","9700-066 ANGRA DO HEROÍSMO","ANGRA DO HEROÍSMO",,,"9700-066 ANGRA DO HEROÍSMO",,,18122460.80,18122460.80,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+ECON%c3%93MICA+DA+MISERIC%c3%93RDIA+DE+ANGRA+DO+HERO%c3%8dSMO","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+ECON%c3%93MICA+DA+MISERIC%c3%93RDIA+DE+ANGRA+DO+HERO%c3%8dSMO"
"APS FINANCIAL LIMITED",9108,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9108",9554,"Free Provision of Services by EU Credit Institutions",,"Active",,,,,,,,"Reino Unido",,,,
"CAXTON FX LIMITED",9151,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9151",8756,"Free Provision of Services by EU Payment Institutions",2009-11-01,"Active",,,,,,,,"Reino Unido",,,,
"INTER CITY MONEY CHANGERS LIMITED",9156,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9156",8785,"Free Provision of Services by EU Payment Institutions",2010-04-21,"Active",,,,,,,,"Reino Unido",,,,
"RABOBANK NEDERLAND",8723,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8723",9218,"Free Provision of Services by EU Credit Institutions",1999-01-07,"Active",,,,,,,,"Holanda",,,,
